Experiment,Model,Val RMSE,Val MAE,Val R2,Test RMSE,Test MAE,Test R2
IntraRegime_RegularConstant,RF,2.4073390073332326,1.1031639796055666,0.8883756939606695,4.058546926382013,2.9434916506994364,0.2952349074427002
IntraRegime_RegularConstant,GB,2.528652728920236,1.3897933924629202,0.876841994891884,6.521192143737073,5.370724948192365,-0.8195216805799428
IntraRegime_RegularConstant,XGB,2.4966638725824515,1.4155052142064932,0.8799383189523547,2.8332184960183158,2.459664632946523,0.6565501127653641
IntraRegime_RegularConstant,LR,2.208441301558381,1.1816535747480685,0.9060588251838261,3.3665870068494814,1.674838153914907,0.5150656732122427
IntraRegime_RegularVariable,RF,2.0886006466940255,1.3790173081754857,0.8250044005434981,4.206451727056814,3.542270591495588,0.6008010278373128
IntraRegime_RegularVariable,GB,2.382909791266143,1.6156025312533002,0.7722116467019741,4.534461780702099,3.6976591840893858,0.5361163270134764
IntraRegime_RegularVariable,XGB,2.8577339996586217,1.221826133958003,0.6723879138808662,4.039902987539918,3.3447084683284287,0.6317867025846831
IntraRegime_RegularVariable,LR,2.444370695667671,1.0260741235213953,0.7603097057256991,1.7062253798729032,1.1852320265419651,0.9343204163314728
IntraRegime_RecommTwoStage,RF,5.976166245207801,4.246173282873783,0.33318185663886524,1.8634161211633233,1.44591247830863,0.9263327733037654
IntraRegime_RecommTwoStage,GB,3.758075969645536,2.1659958833845745,0.7363102928788219,1.844746260329421,1.3183189742701464,0.9278015455182925
IntraRegime_RecommTwoStage,XGB,4.034045618104708,2.869370724120196,0.6961608883414827,1.7887138485749978,1.3376436233612912,0.9321208551329085
IntraRegime_RecommTwoStage,LR,2.97061751245521,2.868112020507428,0.8352385742035451,10.025132101107353,1.5800571877053875,-1.1322338406583983
IntraRegime_RecommThreeStage_TrainTestOnly,RF,0.21982724551153934,0.07791680909651688,0.9985122243998312,3.331726705720593,2.7138447251448956,0.7666457255986907
IntraRegime_RecommThreeStage_TrainTestOnly,GB,0.28580650461688395,0.12396279266248328,0.9974851122070725,3.513194935951594,2.9365857939213695,0.7405333667702692
IntraRegime_RecommThreeStage_TrainTestOnly,XGB,0.0012645044186765414,0.0008979451106238462,0.9999999507716706,3.083686991908659,2.579554977840842,0.8000977888351941
IntraRegime_RecommThreeStage_TrainTestOnly,LR,0.31314067986401234,0.235045294581234,0.9969810676865609,1.2609041748672656,0.8185342280150021,0.9665773265489086
CrossRegime_TrainRegular_TestRecomm,RF,2.324642907094204,1.3947004771086458,0.881224179721245,2.658938160968031,1.8736304462701128,0.8595576270718336
CrossRegime_TrainRegular_TestRecomm,GB,2.5922889365918644,1.3900432339986424,0.8522993685322967,2.3202716344979772,1.7547687367356022,0.8930552803814502
CrossRegime_TrainRegular_TestRecomm,XGB,1.8266209045885324,1.293965013166975,0.926664815913939,2.467761116350251,1.8977235999410265,0.8790271482801807
CrossRegime_TrainRegular_TestRecomm,LR,2.640513684640482,1.207913364335021,0.8467528577659615,3.047591250140613,2.3150523184452347,0.8155005309583312
CrossRegime_TrainRecomm_TestRegular,RF,2.2784630400916512,1.4658864565141208,0.9030727159444818,3.438502038658484,2.0927235845333096,0.7615134796718495
CrossRegime_TrainRecomm_TestRegular,GB,2.858426829461106,1.603504031997719,0.8474485897960162,3.587008452582905,2.1858270089378324,0.7404685071831235
CrossRegime_TrainRecomm_TestRegular,XGB,2.1396406660062315,1.541138845379549,0.9145240857732182,5.685738025587428,3.4881744202431104,0.34792288986360753
CrossRegime_TrainRecomm_TestRegular,LR,0.888008908659514,0.613647788033298,0.9852769864079565,4.693395807877769,2.225911506693876,0.555676148655218
