,mse_test,r2_test
GradientBoosting,0.8711435584818124,0.9807857483888567
XGBoost,1.0160123397211556,0.977590471116551
RandomForest,1.09368172057893,0.9758773676771089
Ridge,1.8043637184272248,0.9602023132165504
KNeighbors,3.960266575004867,0.9126509543938353
SVR,5.323283602887591,0.8825877669099572
